Pote;GT;CO2;ET;Organo;PS;Mn;Cu;Zn;Cd;Pb;SPAD
1;ES Mentor;400;No;Hoja;4,58;53,875;10,309;102,689;1,296;7,219;29,5
2;ES Mentor;400;No;Hoja;3,61;51,066;7,361;149,296;1,091;2,746;21,51
3;ES Mentor;400;No;Hoja;4,27;41,66;6,905;96,886;0,956;2,527;24,74
4;ES Mentor;400;Si;Hoja;4,62;53,998;8,773;118,537;0,901;3,049;22,64
5;ES Mentor;400;Si;Hoja;4,68;51,196;6,641;107,708;1,162;3,207;25,56
6;ES Mentor;400;Si;Hoja;4,38;50,312;8,163;111,167;0,682;3,692;22,8
7;Sigalia;400;No;Hoja;4,12;64,422;8,727;153,333;1,618;4,926;24,18
8;Sigalia;400;No;Hoja;3,93;58,022;7,165;125,963;1,714;6,892;27,69
9;Sigalia;400;No;Hoja;4,17;61,596;7,1;210,241;2,007;6,449;26,41
10;Sigalia;400;Si;Hoja;4,04;53,451;10,915;128,37;1,694;4,062;25,06
11;Sigalia;400;Si;Hoja;4,23;46,969;7,211;305,118;1,855;4,996;25,98
12;Sigalia;400;Si;Hoja;3,59;58,049;7,342;151,765;1,671;3,643;22,97
13;Alim 3,14;400;No;Hoja;10,69;65,792;5,241;179,269;2,399;8,439;30,34
14;Alim 3,14;400;No;Hoja;8,29;37,892;6,835;345,519;1,004;5,745;23,78
15;Alim 3,14;400;No;Hoja;5,86;39,677;6,299;229,899;1,021;5,875;25,64
16;Alim 3,14;400;Si;Hoja;7,46;40,615;9,706;286,706;1,208;4,387;24,26
17;Alim 3,14;400;Si;Hoja;9,43;77,738;11,126;144,369;1,402;11,068;32,13
18;Alim 3,14;400;Si;Hoja;8,15;31,083;7,103;198,583;1,372;7,464;32,24
19;ES Mentor;550;No;Hoja;4,08;33,684;6,188;82,593;0,714;2,936;26,49
20;ES Mentor;550;No;Hoja;4,14;41,422;6,717;98,824;0,716;4,362;26,77
21;ES Mentor;550;No;Hoja;4,34;38,34;6,952;134,008;0,809;2,631;22,32
22;ES Mentor;550;Si;Hoja;4,29;47,436;7,187;90,688;0,913;2,205;20,91
23;ES Mentor;550;Si;Hoja;4,23;72,949;9,091;100,56;1,054;6,29;27,03
24;ES Mentor;550;Si;Hoja;3,9;44,134;6,09;186,495;0,934;3,781;27,17
25;Sigalia;550;No;Hoja;3,84;38,234;5,076;162,86;1,097;4,009;29,8
26;Sigalia;550;No;Hoja;3,3;43,104;6,206;177,014;0,904;3,244;25,84
27;Sigalia;550;No;Hoja;4,23;77,911;6,256;281,237;2,384;6,217;28,04
28;Sigalia;550;Si;Hoja;3,61;83,826;6,841;144,675;2,849;5,819;28,04
29;Sigalia;550;Si;Hoja;4,27;64,032;8,591;144,112;1,732;6,898;31,81
30;Sigalia;550;Si;Hoja;4,01;55,511;6,899;202,104;1,741;6,709;29,6
31;Alim 3,14;550;No;Hoja;11,82;41;5,383;59,426;1,26;4,808;25,98
32;Alim 3,14;550;No;Hoja;12,33;62,929;6,534;65,956;1,533;5,765;27,42
33;Alim 3,14;550;No;Hoja;9,45;39,449;5,838;72,143;0,868;3,006;20,4
34;Alim 3,14;550;Si;Hoja;8,45;41,391;8,701;92,643;1,107;2,414;20,27
35;Alim 3,14;550;Si;Hoja;9,58;40,264;8,013;103,651;0,821;2,309;23,09
36;Alim 3,14;550;Si;Hoja;8,71;44,379;10,601;98,567;0,924;1,798;21,43
1;ES Mentor;400;No;Semilla;3,12;29,2;38,3;95,1;1,04;0,17;29,5
2;ES Mentor;400;No;Semilla;3,11;19,2;25;87,2;1,43;0,068;21,51
3;ES Mentor;400;No;Semilla;3,64;23,3;23,1;89;0,959;0,097;24,74
4;ES Mentor;400;Si;Semilla;2,68;26;21;88,3;0,994;0,048;22,64
5;ES Mentor;400;Si;Semilla;2,67;29,7;22,6;87,7;1,12;0,071;25,56
6;ES Mentor;400;Si;Semilla;3,24;24;19,8;75,8;0,821;0,049;22,8
7;Sigalia;400;No;Semilla;2,98;24,6;23,2;95,2;1,73;0,116;24,18
8;Sigalia;400;No;Semilla;3,06;26,3;24,4;97,3;1,5;0,053;27,69
9;Sigalia;400;No;Semilla;3,44;26,8;22,7;104;2,13;0,078;26,41
10;Sigalia;400;Si;Semilla;2,73;24,4;23,9;101;1,28;0,061;25,06
11;Sigalia;400;Si;Semilla;2,93;25,2;23,7;108;1,36;0,047;25,98
12;Sigalia;400;Si;Semilla;2,17;20,3;26,4;119;1,49;0,093;22,97
13;Alim 3,14;400;No;Semilla;11,17;34,5;11,8;68,3;1,53;0,117;30,34
14;Alim 3,14;400;No;Semilla;4,52;29,8;17,5;73,6;0,88;0,059;23,78
15;Alim 3,14;400;No;Semilla;3,49;22,3;19,9;77,7;1,19;0,071;25,64
16;Alim 3,14;400;Si;Semilla;1,78;21,1;21,9;68,2;0,872;0,034;24,26
17;Alim 3,14;400;Si;Semilla;2,24;27,9;23,6;80,5;0,979;0,05;32,13
18;Alim 3,14;400;Si;Semilla;3,38;21;18,6;79,1;1,31;0,041;32,24
19;ES Mentor;550;No;Semilla;3,4;21,6;24,6;88,9;1,09;0,05;26,49
20;ES Mentor;550;No;Semilla;2,7;20,6;25,7;96,7;1,29;0,036;26,77
21;ES Mentor;550;No;Semilla;2,88;18;25,1;89,9;1,28;0,039;22,32
22;ES Mentor;550;Si;Semilla;2,24;27,6;24,7;97,5;1,15;0,069;20,91
23;ES Mentor;550;Si;Semilla;3,51;27,8;20,6;85;0,991;0,06;27,03
24;ES Mentor;550;Si;Semilla;3,07;24,4;24,5;101;1,26;0,058;27,17
25;Sigalia;550;No;Semilla;2,55;19,4;22,8;94,5;2,17;0,052;25,29
26;Sigalia;550;No;Semilla;3,68;20,9;20,9;81,6;1,1;0,051;25,84
27;Sigalia;550;No;Semilla;2,96;20,9;22,9;100;2,39;0,106;28,04
28;Sigalia;550;Si;Semilla;3,34;25;20,6;98,3;2,38;0,13;28,04
29;Sigalia;550;Si;Semilla;2,5;20;23,7;101;1,7;0,042;31,81
30;Sigalia;550;Si;Semilla;2,5;23,8;24,8;105;1,79;0,077;29
31;Alim 3,14;550;No;Semilla;11,9;27,8;12,6;60,2;0,925;0,097;25,98
32;Alim 3,14;550;No;Semilla;10,51;27,8;17,8;59,9;0,712;0,133;27,42
33;Alim 3,14;550;No;Semilla;9,09;35,1;12,9;57,5;0,71;0,075;20,4
34;Alim 3,14;550;Si;Semilla;2,05;32;18,2;72,8;0,828;0,044;20,27
35;Alim 3,14;550;Si;Semilla;1,03;30,1;21,1;80,6;0,623;0,123;23,09
36;Alim 3,14;550;Si;Semilla;1,98;20,3;20,7;65,3;0,75;0,047;21,43
1;ES Mentor;400;No;Tallo;2,43;6,887;5,097;162,647;1,157;8,052;29,5
2;ES Mentor;400;No;Tallo;2,29;3,557;4,583;221,358;1,252;5,667;21,51
3;ES Mentor;400;No;Tallo;2,28;9,056;5,07;238,569;0,956;6,812;24,74
4;ES Mentor;400;Si;Tallo;2,12;4,274;5,368;17,27;1,463;4,069;22,64
5;ES Mentor;400;Si;Tallo;1,96;5,739;5,083;67,949;1,673;11,647;25,56
6;ES Mentor;400;Si;Tallo;1,95;3,043;3,615;41,375;0,879;3,436;22,8
7;Sigalia;400;No;Tallo;2,06;3,815;5,898;21,811;1,653;5,588;24,18
8;Sigalia;400;No;Tallo;1,87;5,362;7,36;32,605;1,835;4,545;27,69
9;Sigalia;400;No;Tallo;2,32;2,258;4,838;18,695;2,153;4,445;26,41
10;Sigalia;400;Si;Tallo;2,18;4,087;9,488;23,029;2,387;5,7;25,06
11;Sigalia;400;Si;Tallo;1,85;3,955;6,105;28,182;1,723;3,559;25,98
12;Sigalia;400;Si;Tallo;1,82;2,122;6,461;21,806;1,675;2,125;22,97
13;Alim 3,14;400;No;Tallo;6,26;9,209;3,817;49,747;1,6;6,415;30,34
14;Alim 3,14;400;No;Tallo;3,75;5,204;4,408;22,9;1,235;4,615;23,78
15;Alim 3,14;400;No;Tallo;2,69;3,251;4,408;36,289;0,957;2,848;25,64
16;Alim 3,14;400;Si;Tallo;2,63;5,902;5,908;13,406;1,09;4,447;24,26
17;Alim 3,14;400;Si;Tallo;3,07;6,049;5,591;26,288;1,314;4,506;32,13
18;Alim 3,14;400;Si;Tallo;2,89;5,034;6,997;49,9;1,686;4,885;32,24
19;ES Mentor;550;No;Tallo;1,85;2,961;5,401;15,741;0,944;1,992;26,49
20;ES Mentor;550;No;Tallo;1,89;5,525;4,875;30,778;0,981;1,87;26,77
21;ES Mentor;550;No;Tallo;1,86;3,368;4,871;31,213;0,911;1,729;22,32
22;ES Mentor;550;Si;Tallo;2,07;5,725;7,02;20,596;1,647;2,785;20,91
23;ES Mentor;550;Si;Tallo;1,75;3,21;3,79;31,39;1,26;3,4;27,03
24;ES Mentor;550;Si;Tallo;1,87;3,392;3,885;25;0,982;2,032;27,17
25;Sigalia;550;No;Tallo;2,03;2,404;6,025;38,446;1,868;4,148;25,29
26;Sigalia;550;No;Tallo;2,35;8,109;5,522;34,175;1,205;4,007;25,84
27;Sigalia;550;No;Tallo;1,93;3,502;5,435;29,182;2,402;5,999;28,04
28;Sigalia;550;Si;Tallo;2,28;3,068;6,059;15,12;2,636;5,328;28,04
29;Sigalia;550;Si;Tallo;1,91;3,898;6,624;42,668;2,038;3,526;31,81
30;Sigalia;550;Si;Tallo;2,1;2,239;4,905;23,974;1,94;3,617;29
31;Alim 3,14;550;No;Tallo;5,23;6,655;4,252;18,718;1,264;9,182;25,98
32;Alim 3,14;550;No;Tallo;5,92;5,035;3,336;25,412;0,952;5,978;27,42
33;Alim 3,14;550;No;Tallo;4,23;6,62;4,145;27,41;1,032;7,904;20,4
35;Alim 3,14;550;Si;Tallo;3,52;9,087;6,714;27,046;0,77;6,517;23,09
36;Alim 3,14;550;Si;Tallo;2,67;6,862;5,394;18,051;1,048;4,003;21,43
1;ES Mentor;400;No;Vaina;1,46;14,426;8,598;86,799;1,046;1,286;29,5
2;ES Mentor;400;No;Vaina;1,39;7,263;6,69;41,764;1,148;0,092;21,51
3;ES Mentor;400;No;Vaina;1,51;10,098;5,824;35,276;0,866;0,273;24,74
4;ES Mentor;400;Si;Vaina;1,45;14,726;6,771;84,785;0,881;2,524;22,64
5;ES Mentor;400;Si;Vaina;1,61;15,895;7,351;80,405;1,393;1,241;25,56
6;ES Mentor;400;Si;Vaina;1,73;12,888;5,651;25,3;0,709;0,13;22,8
7;Sigalia;400;No;Vaina;1,12;12,319;8,629;51,905;1,803;1,442;24,18
8;Sigalia;400;No;Vaina;1,84;14,261;7,333;86,537;1,52;1,095;27,69
10;Sigalia;400;Si;Vaina;1,71;17,634;12,087;60,934;1,803;2,498;25,06
11;Sigalia;400;Si;Vaina;1,54;14,029;7,914;63,563;1,61;0,884;25,98
12;Sigalia;400;Si;Vaina;1,31;12,54;10,02;74,25;1,591;0,275;22,97
13;Alim 3,14;400;No;Vaina;6,27;22,48;2,981;22,33;1,776;1,341;30,34
14;Alim 3,14;400;No;Vaina;2,71;17,679;6,173;47,147;1,407;0,44;23,78
15;Alim 3,14;400;No;Vaina;1,67;6,296;5,4;36,965;1,208;0,45;25,64
16;Alim 3,14;400;Si;Vaina;1,3;12,096;7,802;87,812;0,92;1,03;24,26
17;Alim 3,14;400;Si;Vaina;1,71;15,84;9,392;78,691;1,111;0,866;32,13
18;Alim 3,14;400;Si;Vaina;1,93;7,523;5,782;78,955;1,419;0,794;32,24
19;ES Mentor;550;No;Vaina;1,62;8,713;7,885;40,602;0,773;0,439;26,49
20;ES Mentor;550;No;Vaina;1,26;8,046;7,508;90,784;0,983;0,767;26,77
21;ES Mentor;550;No;Vaina;1,26;7,92;7,391;89,365;0,967;0,755;22,32
22;ES Mentor;550;Si;Vaina;1,25;14,246;7,687;50,248;1,184;0,945;20,91
23;ES Mentor;550;Si;Vaina;2,13;16,576;6,047;58,848;1,071;1,305;27,03
24;ES Mentor;550;Si;Vaina;1,49;12,515;7,733;51,022;1,206;1,361;27,17
25;Sigalia;550;No;Vaina;1,14;7,318;13,596;39,382;1,802;2,472;25,29
26;Sigalia;550;No;Vaina;1,75;9,769;5,903;88,807;1,179;1,327;25,84
27;Sigalia;550;No;Vaina;1,38;17,646;6,273;55,703;2,46;0,479;28,04
28;Sigalia;550;Si;Vaina;1,75;14,414;5,929;44,222;2,803;0,577;28,04
29;Sigalia;550;Si;Vaina;1,3;17,99;6,989;61,495;1,848;0,902;31,81
30;Sigalia;550;Si;Vaina;1,45;20,66;9,252;68,06;1,347;0,398;29
31;Alim 3,14;550;No;Vaina;5,91;10,204;2,568;235,019;1,034;2,143;25,98
32;Alim 3,14;550;No;Vaina;5,27;18,274;3,593;302,465;1,135;4,8;27,42
33;Alim 3,14;550;No;Vaina;4,36;20,658;3,162;300,81;1,071;3,426;20,4
34;Alim 3,14;550;Si;Vaina;2,17;27,78;7,787;141,454;1,298;3,406;20,27
35;Alim 3,14;550;Si;Vaina;1,86;27,469;10,105;51,65;0,782;0,308;23,09
36;Alim 3,14;550;Si;Vaina;1,23;15,427;8,786;45,308;0,81;0,889;21,43
